Name,Level,Max. price,Time,XP,Needs,Source,Per boat crate
Mystery net,30,0,3 h★★★ 2 h 33 min,7,Diamond (5),Net Maker,N/A
Tomato juice,31,162,1 h 30 min★★★ 1 h 16 min,19,Tomato (3),Juice Press,2-4
Berry juice,31,205,3 h★★★ 2 h 33 min,24,"Blackberry (1)
Raspberry (1)",Juice Press,2-3
Goat feed,32,14,40 min★★★ 34 min,3,"Carrot (2)
Corn (1)Wheat (1)",Feed Mill,N/A
Goat milk,32,64,8 h,6,Goat Feed (1),Goat (6th animal product),5-8
Goat cheese,33,162,1 h 30 min★★★ 1 h 16 min,19,Goat milk (2),Dairy,2-5
Pizza,33,190,15 min★★★ 12 min,23,"Cheese (1)
Tomato (1)Wheat (2)",Bakery,2-4
Coal,33,10,Instant,3,Supplies,Mine,N/A
Refined coal,33,108,6 h★★★ 5 h 6 min,13,Coal (3),Smelter,N/A
Cherry popsicle,33,352,3 h★★★ 2 h 33 min,42,"Cherry juice (1)
Syrup (1)",Ice Cream Maker,1-2
Strawberry,34,50,8 h,10,Strawberry (1),Field (15th crop),3-10
Feta pie,34,223,1 h 30 min★★★ 1 h 16 min,26,"Egg (1)
Goat cheese (1)Wheat (2)",Pie Oven,2-3
Iron ore,34,14,Instant,4,Supplies,Mine,N/A
Iron bar,34,129,7 h★★★ 5 h 57 min,15,Iron ore (3),Smelter,N/A
Strawberry ice cream,34,331,4 h★★★ 3 h 24 min,40,"Cream (1)
Milk (1)Strawberry (3)White sugar (1)",Ice Cream Maker,1-2
Wheat bundle,34 (Rep. 3),50,1 h 30 min★★★ 1 h 16 min,10,Wheat (75),Feed Mill,N/A
Meat bucket,34 (Rep. 3),72,45 min★★★ 38 min,15,"Fish Fillet (3)
Carrot (5)",Feed Mill,N/A
Potato,35,36,3 h 40 min,7,Potato (1),Field (16th crop),6-14
Strawberry cake,35,316,3 h★★★ 2 h 33 min,38,"Cream (1)
Strawberry (2)Wheat (3)White sugar (1)",Cake Oven,1-2
Baked potato,35,298,35 min★★★ 29 min,36,"Cheese (1)
Chili pepper (1)Cream (1)Potato (2)",BBQ Grill,1-2
Apple jam,35,219,6 h★★★ 5 h 6 min,26,Apple (3),Jam Maker,2-4
Chocolate cake,36,320,2 h★★★ 1 h 42 min,38,"Brown sugar (1)
Butter (1)Cacao (2)",Cake Oven,1-2
Casserole,36,367,2 h★★★ 1 h 42 min,44,"Bacon (2)
Cheese (1)Egg (2)Potato (2)",Pie Oven,1-2
Cacao,36,86,1 d 10 h,16,N/A,Cacao tree (17th crop),4-6
Raspberry jam,36,252,7 h★★★ 5 h 57 min,30,Raspberry (3),Jam Maker,1-3
Spicy pizza,37,226,15 min★★★ 12 min,27,"Cheese (1)
Chili pepper (1)Tomato (1)Wheat (2)",Bakery,2-3
Blackberry jam,37,388,8 h★★★ 6 h 48 min,46,Blackberry (3),Jam Maker,1-2
Potato feta cake,38,309,2 h★★★ 1 h 42 min,37,"Egg (4)
Goat cheese (1)Potato (1)",Cake Oven,2
Cherry jam,38,334,7 h★★★ 5 h 57 min,40,Cherry (3),Jam Maker,1-2
Bracelet,38,514,2 h★★★ 1 h 42 min,61,"Gold bar (1)
Silver bar (2)",Jeweler,N/A
Potato bread,39,284,45 min★★★ 38 min,34,"Butter (1)
Egg (3)Potato (2)White sugar (1)",Bakery,1-2
Shepherd's pie,39,280,1 h 40 min★★★ 1 h 25 min,34,"Bacon (2)
Carrot (2)Potato (2)Pumpkin (2)",Pie Oven,2
Chocolate ice cream,39,342,2 h 30 min★★★ 2 h 7 min,41,"Cream (1)
Cacao (2)Milk (1)White sugar (1)",Ice Cream Maker,1-2
Honeycomb,39,68,Instant,8,N/A,Beehive tree (7th animal product),N/A
Necklace,39,727,3 h★★★ 2 h 33 min,87,"Gold bar (1)
Platinum bar (1)Silver bar (2)",Jeweler,N/A
Honey,39,154,20 min★★★ 17 min,19,Honeycomb (2),Honey Extractor,N/A
Honey popcorn,40,360,1 h 30 min★★★ 1 h 16 min,43,"Corn (2)
Honey (2)",Popcorn Pot,3-5
Diamond ring,40,824,4 h★★★ 3 h 24 min,98,"Diamond (1)
Gold bar (2)Platinum bar (2)",Jeweler,N/A
Fish and chips,41,244,1 h 30 min★★★ 1 h 16 min,29,"Fish fillet (2)
Potato (3)",BBQ Grill,2
Iron bracelet,41,658,1 h 30 min★★★ 1 h 16 min,79,"Iron bar (2)
Refined coal (2)Silver bar (1)",Jeweler,N/A
Coffee bean,42,64,1 d 1 h,12,N/A,Coffee bush (18th crop),4-8
Espresso,42,248,5 min★★★ 4 min,29,"Coffee bean (3)
White sugar (1)",Coffee Kiosk,2
Honey apple cake,42,482,3 h 20 min★★★ 2 h 50 min,57,"Apple (2)
Egg (2)Honey (2)Wheat (2)",Cake Oven,2
Caffè latte,43,219,10 min★★★ 8 min,26,"Coffee bean (2)
Milk (1)White sugar (1)",Coffee Kiosk,2
Chocolate popcorn,44,248,2 h 30 min★★★ 2 h 7 min,29,"Cacao (2)
Corn (2)",Popcorn Pot,2-4
Lobster trap,44,0,2 h★★★ 1 h 42 min,5,N/A,Net Maker,N/A
Lobster tail,44,201,6 h,24,Lobster (8th animal product),Lobster Pool,2-4
Frutti di Mare pizza,45,403,15 min★★★ 12 min,48,"Cheese (1)
Fish fillet (1)Lobster tail (1)Wheat (2)",Bakery,1-2
Caffè mocha,45,291,15 min★★★ 12 min,35,"Coffee bean (1)
Cream (1)Cacao (2)",Coffee Kiosk,1-2
Raspberry mocha,46,259,30 min★★★ 25 min,31,"Cacao (1)
Coffee bean (1)Cream (1)Raspberry (1)",Coffee Kiosk,1-2
Lobster soup,46,612,2 h 30 min★★★ 2 h 7 min,73,"Chili pepper (2)
Cream (1)Lobster tail (2)Tomato (1)",Soup Kitchen,1-2
Hot chocolate,47,316,25 min★★★ 21 min,38,"Cacao (2)
Cream (1)Milk (1)White sugar (1)",Coffee Kiosk,2
Tomato soup,47,478,1 h 30 min★★★ 1 h 16 min,57,"Chili pepper (1)
Goat cheese (1)Tomato juice (1)Tomato (2)",Soup Kitchen,1-2
Red scarf,48,288,2 h 30 min★★★ 2 h 7 min,34,"Strawberry (2)
Wool (2)",Loom,1-2
Lobster skewer,48,417,40 min★★★ 34 min,50,"Chili pepper (1)
Honey (1)Lobster tail (1)",BBQ Grill,2
Beeswax,48,234,45 min★★★ 38 min,28,Honeycomb (3),Honey Extractor,N/A
Strawberry candle,48,370,2 h★★★ 1 h 42 min,44,"Beeswax (1)
Strawberry (2)",Candle Maker,2-3
Rustic bouquet,49,208,45 min★★★ 38 min,25,"Wheat (5)
Indigo (3)Cotton (3)",Flower Shop,1-2
Pumpkin soup,49,392,2 h★★★ 1 h 42 min,47,"Butter (1)
Carrot (2)Honey (1)Pumpkin (3)",Soup Kitchen,2
Asparagus,49,43,6 h,8,Asparagus (1),Field (19th crop),6-12
Asparagus quiche,49,302,2 h★★★ 1 h 42 min,36,"Asparagus (2)
Egg (2)Cheese (1)Wheat (4)",Pie Oven,2-3
Strawberry jam,50,270,7 h 30 min★★★ 6 h 22 min,32,Strawberry (3),Jam Maker,2-3
Duck trap,50,0,1 h★★★ 51 min,3,N/A,Net Maker,N/A
Duck feather,50,140,3 h,17,Duck (9th animal product),Duck Salon,3-6
Sesame,50,18,1 h,4,Sesame (1),Field (20th crop),16-25
Sesame ice cream,50,176,2 h★★★ 1 h 42 min,21,Cream (1)Sesame (3)Brown sugar (1),Ice Cream Maker,2-5
Caramel apple,51,255,2 h★★★ 1 h 42 min,31,"Apple (1)
Syrup (2)",Candy Machine,N/A
Pillow,51,676,3 h★★★ 2 h 33 min,81,"Cotton fabric (2)
Duck feather (3)",Sewing Machine,1
Asparagus soup,51,255,1 h★★★ 51 min,30,"Asparagus (3)
Cream (2)",Soup Kitchen,1-3
Toffee,52,176,1 h 30 min★★★ 1 h 16 min,21,"Butter (1)
Wheat (1)White sugar (1)",Candy Machine,N/A
Raspberry candle,52,360,1 h 45 min★★★ 1 h 29 min,43,"Beeswax (1)
Raspberry (2)",Candle Maker,2-3
Pineapple,52,14,30 min,3,Pineapple (1),Field (21st crop),20-31
Pineapple juice,52,68,45 min★★★ 38 min,8,Pineapple (3),Juice Press,5-8
Fish soup,53,298,3 h★★★ 2 h 33 min,35,"Carrot (1)
Fish fillet (2)Milk (1)Potato (3)",Soup Kitchen,1-2
Lily,53,21,1 h 30 min,5,Lily (1),Field (22nd crop),12-20
Soy sauce,54,154,3 h★★★ 2 h 33 min,19,"Soybean (9)
Wheat (1)",Sauce Maker,2-4
Chocolate,54,460,20 h★★★ 17 h,55,"Cacao (3)
Cream (1)White sugar (1)",Candy Machine,N/A
Fancy cake,54,450,15 min★★★ 12 min,49,"Cream cake (1)
Lily (3)Raspberry (3)Gold ore (1)",Cake Oven,2
Rice,56,18,45 min,3,Rice (1),Field (23rd crop),19-32
Sushi roll,56,489,1 h★★★ 51 min,58,"Fish fillet (1)
Rice (15)Soy sauce (1)",Sushi Bar,1-2
Olive,57,82,1 d,17,N/A,Olive tree (24th crop),4-6
Lollipop,57,342,12 h★★★ 10 h 12 min,41,"Cherry (1)
Strawberry (2)Syrup (1)",Candy Machine,N/A
Lettuce,58,32,3 h 30 min,7,Lettuce (1),Field (25th crop),9-14
Feta salad,58,745,1 h 30 min★★★ 1 h 16 min,89,"Goat cheese (2)
Lettuce (3)Olive (2)Roasted tomatoes (1)",Salad Bar,1
Lobster sushi,59,637,1 h★★★ 51 min,76,"Lobster tail (1)
Rice (15)Soy sauce (1)",Sushi Bar,1
Blanket,59,1098,3 h 30 min★★★ 2 h 58 min,131,"Cotton fabric (3)
Duck feather (5)Pumpkin (1)",Sewing Machine,1
Jelly beans,60,684,1 d★★★ 20 h 24 min,81,"Blackberry jam (1)
Raspberry jam (1)White sugar (1)",Candy Machine,N/A
Olive oil,60,277,45 min★★★ 38 min,33,Olive (3),Sauce Maker,1-2
Garlic,60,14,30 min,3,Garlic (1),Field (26th crop),20-32
Garlic bread,60,198,15 min★★★ 12 min,24,"Bread (2)
Butter (1)Garlic (4)",BBQ Grill,2-3
Veggie bagel,61,532,40 min★★★ 34 min,63,"Bread (2)
Lettuce (3)Olive oil (1)Tomato (2)",Sandwich Bar,1
Mayonnaise,62,367,15 min★★★ 12 min,44,"Egg (4)
Olive oil (1)",Sauce Maker,1-2
BLT salad,62,723,1 h 45 min★★★ 1 h 29 min,86,"Bacon (2)
Lettuce (3)Mayonnaise (1)Roasted tomatoes (1)",Salad Bar,1-3
Caramel latte,62,345,15 min★★★ 12 min,41,"Coffee bean (2)
Toffee (1)Milk (1)",Coffee Kiosk,2
Peanuts,62,234,Instant,43,N/A,Squirrel House (10th animal product),N/A
Sunflower,63,21,1 h 30 min,5,Sunflower (1),Field (27th crop),12-19
Egg sushi,63,550,2 h★★★ 1 h 42 min,66,"Brown sugar (1)
Egg (4)Rice (15)Soy sauce (1)",Sushi Bar,1
Honey peanuts,63,468,40 min★★★ 34 min,64,"Honey (1)
Peanuts (1)",Candy Machine,N/A
Seafood salad,64,763,2 h★★★ 1 h 42 min,91,"Fish fillet (1)
Lettuce (3)Lobster tail (1)Mayonnaise (1)",Salad Bar,1
Berry smoothie,64,547,1 h 15 min★★★ 1 h 3 min,65,"Blackberry (3)
Strawberry (3)Raspberry (3)",Smoothie Mixer,1
Snack mix,64,309,45 min★★★ 38 min,50,"Corn (2)
Sesame (1)Peanuts (1)",Popcorn Pot,4-7
Bright bouquet,65,338,20 min★★★ 17 min,40,"Sunflower (5)
Indigo (3)Cotton (1)Iron ore (5)",Flower Shop,1-2
Bacon toast,65,648,1 h 40 min★★★ 1 h 25 min,77,"Bacon (2)
Bread (2)Lettuce (3)Mayonnaise (1)",Sandwich Bar,1
Pineapple cake,65,259,1 h 15 min★★★ 1 h 3 min,31,"Pineapple (3)
Egg (2)Cherry (2)Wheat (4)",Cake Oven,2
Chocolate pie,65,514,1 h 15 min★★★ 1 h 3 min,70,"Wheat (3)
Cacao (3)Egg (1)Peanuts (1)",Pie Oven,2
Cabbage,65,18,45 min,3,Cabbage (1),Field (28th crop),12-31
Cabbage soup,65,270,1 h 30 min★★★ 1 h 16 min,32,"Cabbage (3)
Bacon (2)Potato (2)Carrot (2)",Soup Kitchen,2
Lemon,66,93,1 d 5 h,18,N/A,Lemon tree (29th crop),4-6
Lemon curd,66,378,25 min★★★ 21 min,45,"Butter (1)
Egg (2)Lemon (2)White sugar (1)",Sauce Maker,1-2
Olive dip,66,468,45 min★★★ 38 min,56,"Olive (3)
Bread (2)Lemon (1)Fish fillet (1)",Sauce Maker,2
Egg sandwich,66,583,1 h 20 min★★★ 1 h 8 min,69,"Bread (2)
Egg (2)Lettuce (3)Mayonnaise (1)",Sandwich Bar,1
Green smoothie,66,320,45 min★★★ 38 min,38,"Apple (1)
Lemon (1)Lettuce (5)",Smoothie Mixer,1-2
Fresh pasta,67,43,15 min★★★ 12 min,5,"Egg (1)
Wheat (2)",Pasta Maker,8-12
Pasta salad,67,759,2 h 30 min★★★ 2 h 7 min,90,"Fresh pasta (4)
Lemon (2)Olive oil (1) Tomato (2)",Salad Bar,1
Lemon pie,67,446,2 h 15 min★★★ 1 h 54 min,53,"Egg (1)
Lemon curd (1)Wheat (2)",Pie Oven,1-2
Grilled asparagus,67,486,1 h 15 min★★★ 1 h 3 min,58,"Asparagus (5)
Bacon (3)Lemon (1)",BBQ Grill,1
Onion,68,39,5 h,8,Onion (1),Field (30th crop),8-9
Grilled onion,68,190,1 h★★★ 51 min,23,"Butter (1)
Onion (2)",BBQ Grill,3
Lemon cake,68,896,2 h 30 min★★★ 2 h 7 min,107,"Cream (1)
Egg (2)Lemon curd (2)Wheat (3)",Cake Oven,1
Lemon essential oil,68,288,"10 min
★★★ 8 min",34,Lemon (3),Essential Oils Lab,1-???
Peanut butter milkshake,68,619,1 h 40 min★★★ 1 h 25 min,86,"Peanuts (1)
Milk (1)Cream (1)Cacao (3)",Ice Cream Maker,1-2
Tomato sauce,69,230,30 min★★★ 25 min,27,"Brown sugar (1)
Lemon (1)Tomato (2)",Sauce Maker,2
Honey toast,69,255,1 h★★★ 51 min,31,"Bread (1)
Egg (1)Honey (1)Milk (1)",Sandwich Bar,3-4
Fried rice,69,205,1 h★★★ 51 min,24,"Rice (5)
Egg (5)",Wok Kitchen,2-3
Yogurt smoothie,70,349,1 h★★★ 51 min,42,"Cherry (1)
Cream (1)Raspberry (2)White sugar (1)",Smoothie Mixer,1-2
Cloche hat,70,468,2 h★★★ 1 h 42 min,56,"Strawberry (2)
Wool (6)",Hat Maker,1-4
Cucumber,70,14,35 min,3,Cucumber (1),Field (31st crop),21-31
Cucumber smoothie,70,266,40 min★★★ 34 min,32,"Cucumber (3)
Honey (1)Pineapple (3)",Smoothie Mixer,2-4
Orange,71,97,1 d 7 h,19,N/A,Orange tree (32nd crop),4-6
Flower shawl,71,295,1 h 30 min★★★ 1 h 16 min,35,"Wool (2)
Sunflower (3)Blackberry (1)",Loom,2
Orange juice,71,234,2 h★★★ 1 h 42 min,28,Orange (2),Juice Press,2-3
Peanut butter and jelly sandwich,71,601,25 min★★★ 21 min,80,Bread (2)Raspberry jam (1)Peanuts (1),Sandwich Bar,1-2
Onion soup,72,327,2 h 30 min★★★ 2 h 7 min,39,"Bread (2)
Cheese (1)Onion (3)",Soup Kitchen,1-2
Lemon candle,72,457,2 h 15 min★★★ 1 h 54 min,55,"Beeswax (1)
Lemon (2)",Candle Maker,2
Top hat,72,619,3 h 30 min★★★ 2 h 58 min,74,"Cotton fabric (3)
Duck feather (1)Refined coal (1)",Hat Maker,1-2
Gnocchi,72,475,1 h 20 min★★★ 1 h 8 min,57,"Potato (4)
Tomato (3)Wheat (2)Butter (2)",Pasta Kitchen,1-2
Beetroot,72,14,40 min,3,Beetroot (1),Field (33rd crop),20-31
Winter veggies,72,198,25 min★★★ 21 min,24,"Beetroot (2)
Carrot (3)Potato (2)Pumpkin (2)",BBQ Grill,2-4
Rice noodles,73,100,20 min★★★ 17 min,12,Rice (5),Pasta Maker,4-6
Noodle soup,73,432,2 h★★★ 1 h 42 min,52,Carrot (2)Chili pepper (1)Egg (2)Rice noodles (3),Soup Kitchen,1-2
Gracious bouquet,73,500,40 min★★★ 34 min,60,"Cotton fabric (1)
Lily (5)Gold ore (1)Diamond (1)",Flower Shop,1-2
Bell pepper,74,36,4 h 30 min,7,Bell pepper (1),Field (34th crop),9-14
Marmalade,74,457,8 h 30 min★★★ 7 h 13 min,54,Orange (3),Jam Maker,1-2
Sun hat,74,558,2 h 30 min★★★ 2 h 7 min,66,"Duck feather (2)
Indigo (1)Raspberry (1)Wool (3)",Hat Maker,1-2
Veggie lasagna,74,532,1 h 40 min★★★ 1 h 25 min,63,"Tomato sauce (1)
Fresh pasta (3)Carrot (1)Cheese (1)",Pasta Kitchen,1
Veggie platter,74,266,2 h★★★ 1 h 42 min,32,"Bell pepper (2)
Carrot (2)Tomato (2)Cream (1)",Salad Bar,2
Hot dog,75,370,30 min★★★ 25 min,44,"Bacon (2)
Bread (1)Tomato sauce (1)",Hot Dog Stand,1-2
Coleslaw,75,468,1 h 15 min★★★ 1 h 3 min,56,"Cabbage (3)
Carrot (2)Mayonnaise (1)",Salad Bar,1
Cotton Candy,75,226,30 min★★★ 25 min,27,White sugar (3)Strawberry (1),Candy Machine,N/A
Peach,76,100,1 d 6 h,20,N/A,Peach tree (35th crop),4-6
Peach tart,76,435,2 h 30 min★★★ 2 h 7 min,52,"Cream (1)
Egg (2)Peach (3)Wheat (2)",Pie Oven,1-2
Tofu dog,76,367,45 min★★★ 38 min,44,"Lettuce (3)
Soybean (6)Tomato (4)",Hot Dog Stand,1-2
Big sushi roll,76,648,1 h 30 min★★★ 1 h 16 min,77,"Lettuce (5)
Rice (20)Fish fillet (1)Egg (3)",Sushi Bar,1
Beetroot salad,76,234,45 min★★★ 38 min,28,Beetroot (3)Goat Cheese (1),Salad Bar,2-3
Plain Donut,76,129,15 min★★★ 12 min,15,Milk (1)White sugar (1)Egg (1)Wheat (3),Donut Maker,3-4
Salsa,77,252,20 min★★★ 17 min,30,"Chili pepper (2)
Onion (2)Tomato (2)",Sauce Maker,2-3
Taco,77,396,45 min★★★ 38 min,47,"Corn bread (1)
Bacon (1)Salsa (1)",Taco Kitchen,1-2
Colourful omelet,77,136,1 h★★★ 51 min,16,"Egg (2)
Carrot (2)Bell pepper (1)Cabbage (1)",Omelet Station,2-4
Spring omelet,77,230,40 min★★★ 34 min,27,"Egg (2)
Asparagus (2)Butter (1)",Omelet Station,2-3
Summer rolls,78,316,1 h★★★ 51 min,38,"Rice noodles (2)
Carrot (2)Lettuce (1)Chili pepper (1)",Salad Bar,2
Orange sorbet,78,399,3 h 30 min★★★ 2 h 58 min,48,"Honey (1)
Orange (2)",Ice Cream Maker,2
Corn dog,78,529,1 h★★★ 51 min,63,"Bacon (4)
Corn (4)Olive oil (1)",Hot Dog Stand,1
Potato soup,78,255,2 h 30 min★★★ 2 h 7 min,31,"Milk (1)
Onion (2)Potato (3)",Soup Kitchen,2
Ginger​​​​,78,28,2 h 30 min,6,Ginger (1),Field (36th crop),11-16
Sesame brittle,78,270,1 h★★★ 51 min,32,"Sesame (3)
Ginger (1)Honey (1)",Candy Machine,N/A
Affogato​​​​,78,435,20 min★★★ 17 min,56,"Vanilla ice cream (1)
Espresso (1)",Ice Cream Maker,1
Fish taco,79,392,1 h 30 min★★★ 1 h 16 min,47,"Chili pepper (2)
Corn bread (2)Fish fillet (1)Lemon (1)",Taco Kitchen,1-2
Peach jam,79,464,8 h★★★ 6 h 48 min,55,Peach (3),Jam Maker,2-3
Lobster pasta,79,637,2 h★★★ 1 h 42 min,76,"Lobster tail (1)
Cream (2)Fresh pasta (3)Tomato (4)",Pasta Kitchen,1
Cucumber sandwich,79,464,35 min★★★ 29 min,55,"Cucumber (2)
Mayonnaise (1)Bread (2)",Sandwich Bar,1-2
Spicy fish,79,543,1 h 30 min★★★ 1 h 16 min,65,"Fish fillet (1)
Chili pepper (3)Garlic (5)Olive oil (1)",Wok Kitchen,1-2
Sprinkled Donut,79,313,20 min★★★ 17 min,37,Plain Donut (1)Cacao (2),Donut Maker,2
Cheese omelet,79,464,1 h 30 min★★★ 1 h 16 min,55,"Egg (3)
Cheese (2)Tomato (2)Onion (1)",Omelet Station,1
Tea leaf,80,43,6 h 30 min,9,Tea leaf (1),Field (37th crop),7-11
Green tea,80,241,30 min★★★ 25 min,29,Tea leaf (5),Tea Stand,2
Onion dog,80,306,1 h 15 min★★★ 1 h 3 min,36,"Bacon (2)
Bread (1)Chili pepper (1)Onion (3)",Hot Dog Stand,2
